//6
60, 300, 60, 360, PINK, 5
60, 360, 85, 360, PINK, 5
85, 360, 85, 340, Pink, 5
85, 340, 60, 340, Pink, 5
//6
100, 300, 100, 360, Pink, 5
100, 360, 125, 360, Pink, 5
125, 360, 125, 340, Pink, 5
125, 340, 100, 340, Pink, 5
//0
140, 300, 140, 360, Pink, 5
140, 360, 165, 360, Pink, 5
165, 360, 165, 300, Pink, 5
165, 300, 140, 300, Pink, 5
//2
180, 300, 210, 300, Pink, 5
210, 300, 210, 330, Pink, 5
210, 330, 180, 330, Pink, 5
180, 330, 180, 360, Pink, 5
180, 360, 210, 360, Pink, 5
//5
225, 300, 260, 300, Pink, 5
225, 300, 225, 330, Pink, 5
225, 360, 260, 360, Pink, 5
260, 330, 225, 330, Pink, 5
260, 360, 260, 330, Pink, 5
//3
275, 300, 310, 300, Pink, 5
310, 300, 310, 360, Pink, 5
310, 360, 275, 360, Pink, 5
310, 330, 285, 330, Pink, 5
//4
325, 330, 360, 330, Pink, 5
360, 300, 360, 360, Pink, 5
325, 300, 325, 330, Pink, 5
//Roof
410, 228, 445, 180, Green, 5
445, 180, 470, 228, Green, 5
410, 228, 620, 228, Green, 5
620, 228, 600, 180, Green, 5
445, 180, 600, 180, Green, 5

//Sun
550, 35, 550, 65, Yellow, 3
550, 135, 550, 165, Yellow, 3
480, 100, 510, 100, Yellow, 3
590, 100, 620, 100, Yellow, 3
510, 135, 480, 165, Yellow, 3
590, 135, 620, 165, Yellow, 3
590, 65, 620, 35, Yellow, 3
510, 65, 480, 35, Yellow, 3
//Bird
120, 100, 100, 100, Green, 5
